Firm:,Viceroy,,,,Hindenberg,,,,Spruce Point,,,,Muddy Waters,,,,Scorpion,,,,Blue Orca,,,,Fuzzy Panda,,
,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published
,TYO,3856,5/29/2023,,NASDAQ,RIOT,1/9/2018,,NASDAQ,DKNG,10/03/2025,,NASDAQ,APP,05/07/2025,,NASDAQ,SLNO,"August 15, 2025",,TSX,AYA,09/25/2025,,,,
,TYO,3856,5/22/2023,,,,,,NYSE,UEC,09/18/2025,,NASDAQ,FTAI,01/15/2025,,NASDAQ,TMDX,"January 10, 2025",,NASDAQ,NUTX,07/22/2025,,,,
,TYO,3856,5/18/2023,,NASDAQ,RIOT,2/21/2018,,NASDAQ,IRTC,09/18/25,,,ELF,11/20/2024,,TOKYO,6920,"June 5, 2024",,NASDAQ,HSAI,03/18/2025,,,,
,TYO,3856,5/17/2023,,NASDAQ,RIOT,2/26/2018,,NASDAQ,LMB,07/22/2025,,,KDNY,05/16/2023,,NASDAQ,HRMY,"March 28, 2023",,NYSE,TDOC,02/19/2025,,,,
,TYO,3856,5/16/2023,,NASDAQ,OPK,2/27/2018,,NASDAQ,TEM,05/28/2025,,,DLO,11/16/2022,,NASDAQ,TWST,"November 15, 2022",,NASDAQ,BWIN,10/30/2024,,,,
,ETR,ADJ,10/6/2021,,OTCMKTS,CRUIF,2/18/2018,,NYSE,YOU,04/30/2025,,,RUN,07/28/2022,,NYSE,IONQ,"May 3, 2022",,NYSE,SUI,09/25/2024,,,,
,ETR,ADJ,10/12/2021,,OTCQB,APHQF,3/21/2018,,NASDAQ,MNST,04/08/2025,,,HASI,07/12/2022,,NYSE,DNA,"October 6, 2021",,NYSE,DAY,04/04/2024,,,,
,ETR,ADJ,4/19/2022,,OTCQB,APHQF,3/22/2018,,NASDAQ,RELY,03/11/2025,,,BEKE,12/16/2021,,NASDAQ,BLI,"September 15, 2021",,NASDAQ,FLNC,02/22/2024,,,,
,ETR,ADJ,5/3/2022,,NASDAQ,PLSE,4/24/2018,,NYSE,DY,02/15/2025,,,DNMR,09/15/2021,,NYSE,QS,"April 15, 2021",,NYSE,FMC,09/07/2023,,,,
,NASDAQ,AMD,3/22/2018,,NASDAQ,INPX,4/30/2018,,NASDAQ,ROAD,01/23/2025,,,XL,03/03/2021,,NYSE,NVRO,"January 7, 2021",,NYSE,FOUR,04/19/2023,,,,
,NASDAQ,AMD,3/13/2018,,NASDAQ,GNPX,5/9/2018,,NASDAQ,PRCT,01/16/2025,,,YY,11/18/2020,,NASDAQ,ALLK,"December 18, 2019",,NASDAQ,PLL,03/08/2023,,,,
,NYSE,ABR,9/19/2025,,NASDAQ,AMEH,9/4/2018,,NYSE,AEG,12/16/2024,,,NNOX,09/22/2020,,NASDAQ,AXGN,"December 18, 2018",,NYSE,STEM,01/11/2023,,,,
,NYSE,ABR,8/6/2025,,NASDAQ,OPK,9/11/2018,,NASDAQ,ERIE,10/18/2024,,,GSX,05/18/2020,,NASDAQ,FANH,"August 27th, 2018",,NYSE,EVA,10/12/2022,,,,
,NYSE,ABR,7/24/2025,,NYSE,LTS,9/18/2018,,NASDAQ,INTU,09/20/2024,,,EHTH,04/08/2020,,,,,,NYSE,MNSO,07/26/2022,,,,
,NYSE,ABR,4/24/2025,,NYSE,GNW,11/1/2018,,NASDAQ,ZBRA,08/08/2024,,,INGN,02/08/2019,,,,,,NYSE,IIPR,04/14/2022,,,,
,NYSE,ABR,3/24/2025,,NYSE,GMW,11/9/2018,,NYSE,FND,07/01/2024,,,MFC,10/04/2018,,,,,,NYSE,LICY,03/24/2022,,,,
