Exchange,Ticker,Publish_Date,Market_Cap,Publish_Date_Open,Publish_Date_Close,Next_Day_Open,Next_Day_Close,One_Week_Open,One_Week_Close,One_Month_Open,One_Month_Close,Three_Month_Open,Three_Month_Close,Six_Month_Open,Six_Month_Close
NASDAQ,DKNG,10/03/2025,17560145880.98,35.25,35.37,35.86,34.98,34.49,32.69,None,None,None,None,None,None
NYSE,UEC,09/18/2025,5923384096.02,11.95,12.26,12.11,12.35,13.08,13.44,None,None,None,None,None,None
NASDAQ,IRTC,09/18/25,None,None,None,None,None,None,None,None,None,None,None,None,None
NASDAQ,LMB,07/22/2025,1451026422.68,123.01,124.8,125.0,124.11,137.61,135.72,117.14,119.7,None,None,None,None
NASDAQ,TEM,05/28/2025,8973976639.5,63.99,53.2,54.75,54.43,62.33,62.78,69.0,66.52,75.9,76.3,None,None
NYSE,YOU,04/30/2025,2333563921.42,24.11,24.48,24.82,24.2,26.29,26.07,24.2,24.55,30.15,29.54,None,None
NASDAQ,MNST,04/08/2025,53713313037.99,57.67,55.01,55.13,58.25,58.75,58.64,60.65,60.14,63.08,62.85,67.11,67.09
NASDAQ,RELY,03/11/2025,4222836989.77,19.62,20.48,20.62,19.75,19.52,19.49,19.93,20.01,21.61,20.31,19.62,19.93
NYSE,DY,02/15/2025,None,None,None,None,None,None,None,None,None,None,None,None,None
NASDAQ,ROAD,01/23/2025,3926839540.01,85.17,82.58,83.14,84.46,80.98,80.02,73.42,70.19,80.69,77.18,105.83,103.52
NASDAQ,PRCT,01/16/2025,4386337384.7,76.19,78.84,79.26,76.02,68.42,69.64,67.95,66.92,52.21,52.81,58.35,58.01
NYSE,AEG,12/16/2024,9022958814.25,5.83,5.76,5.72,5.65,5.62,5.65,6.06,6.05,6.28,6.36,6.79,6.8
NASDAQ,ERIE,10/18/2024,21914578664.16,468.79,474.45,473.53,470.74,451.41,437.36,399.67,406.44,395.26,400.92,416.44,408.48
NASDAQ,INTU,09/20/2024,178347137507.63,639.06,639.68,644.16,636.69,631.59,613.94,604.24,609.9,649.47,632.77,602.8,600.15
NASDAQ,ZBRA,08/08/2024,16357393093.74,307.73,321.71,320.55,319.95,338.77,343.21,321.59,327.93,403.78,394.02,384.14,383.46
NYSE,FND,07/01/2024,10259766461.74,98.0,95.27,94.18,96.07,93.73,92.21,96.9,98.0,122.81,124.17,99.05,99.89
NYSE,BOOT,05/08/2024,3165562496.18,99.36,103.6,104.64,107.0,106.72,109.98,128.84,128.01,119.14,117.56,125.53,128.67
